model_name,batch_size,spatial_resolution,depth,patch_shape,vram_peak_gb,vram_used_gb,duration_seconds
ResNet3D-50,32,512,16,32x16x512x512,43.46634101867676,0.7146620750427246,10.44413161277771
ResNet3D-50,8,1024,16,8x16x1024x1024,43.44680976867676,0.7142714494839311,10.398104429244995
ResNet3D-50,64,256,32,64x32x256x256,43.28622627258301,0.7122817039489746,10.394602298736572
ResNet3D-50,4,1024,32,4x32x1024x1024,43.19348430633545,0.7122817039489746,10.617087125778198
ResNet3D-50,8,512,64,8x64x512x512,43.19346857070923,0.7122817039489746,10.275792360305786
ResNet3D-50,16,512,32,16x32x512x512,43.1934609413147,0.7122817039489746,10.384589433670044
ResNet3D-50,32,256,64,32x64x256x256,43.19345712661743,0.7122817039489746,10.342820644378662
EfficientNet3D-B0,48,256,24,48x24x256x256,42.11137819290161,0.1362462043762207,6.855479955673218
EfficientNet3D-B0,12,512,24,12x24x512x512,42.099658489227295,0.13651475869119167,6.907699346542358
ResNet3D-50,20,512,24,20x24x512x512,41.4159951210022,0.7116713523864746,10.16985535621643
EfficientNet3D-B0,24,256,48,24x48x256x256,41.398762226104736,0.1361699104309082,6.758052349090576
EfficientNet3D-B3,20,256,32,20x32x256x256,41.03196573257446,0.3473200798034668,6.611598968505859
EfficientNet3D-B4,32,256,16,32x16x256x256,40.38566780090332,0.5548801422119141,6.673182725906372
EfficientNet3D-B4,8,512,16,8x16x512x512,40.340402126312256,0.5548849105834961,6.819572687149048
ResNet3D-101,64,256,24,64x24x256x256,40.16258955001831,1.2973852157592773,9.723525285720825
ResNet3D-101,4,1024,24,4x24x1024x1024,40.07021379470825,1.2967748641967773,10.30909538269043
ResNet3D-101,16,512,24,16x24x512x512,40.0692138671875,1.2957983016967773,9.7539222240448
EfficientNet3D-B4,16,256,32,16x32x256x256,39.75865936279297,0.5565776824951172,6.7685980796813965
EfficientNet3D-B4,64,128,32,64x32x128x128,39.755823612213135,0.5564260482788086,6.6975133419036865
EfficientNet3D-B4,32,128,64,32x64x128x128,39.74437999725342,0.5549421310424805,6.7250120639801025
EfficientNet3D-B4,8,256,64,8x64x256x256,39.73754549026489,0.5549421310424805,6.857446908950806
EfficientNet3D-B4,4,512,32,4x32x512x512,39.736411571502686,0.5549421310424805,6.8468310832977295
EfficientNet3D-B4,20,256,24,20x24x256x256,38.303091049194336,0.5502424240112305,6.387845993041992
ResNet3D-101,24,512,16,24x16x512x512,37.95690107345581,1.2992650978267193,10.64442753791809
EfficientNet3D-B3,24,256,24,24x24x256x256,37.892889976501465,0.34847164154052734,6.198581695556641
ResNet3D-101,32,256,48,32x48x256x256,37.83287763595581,1.2952611921355128,11.203113317489624
ResNet3D-101,48,256,32,48x32x256x256,37.82091474533081,1.2970190048217773,10.660166263580322
ResNet3D-101,8,512,48,8x48x512x512,37.80675458908081,1.2976049417629838,11.211354970932007
ResNet3D-101,24,256,64,24x64x256x256,37.770137786865234,1.2972631454467773,9.371553421020508
ResNet3D-101,12,512,32,12x32x512x512,37.7696533203125,1.2958959573879838,10.93476939201355
EfficientNet3D-B2,32,256,24,32x24x256x256,37.18330097198486,0.25263357162475586,6.46976900100708
EfficientNet3D-B2,8,512,24,8x24x512x512,37.1672043800354,0.24999761581420898,6.468501806259155
EfficientNet3D-B3,48,128,48,48x48x128x128,37.13516426086426,0.3455967903137207,6.09399151802063
EfficientNet3D-B3,12,256,48,12x48x256x256,37.129050731658936,0.3457493782043457,5.8622777462005615
EfficientNet3D-B0,64,256,16,64x16x256x256,37.05952978134155,0.1385197639465332,5.961156129837036
EfficientNet3D-B0,16,512,16,16x16x512x512,37.046337604522705,0.1373143196105957,5.972049713134766
EfficientNet3D-B0,4,1024,16,4x16x1024x1024,37.04524374008179,0.1373143196105957,6.012990713119507
EfficientNet3D-B2,48,256,16,48x16x256x256,36.78504467010498,0.25325632095336914,6.3161492347717285
EfficientNet3D-B2,12,512,16,12x16x512x512,36.76482391357422,0.2516961097717285,6.858840227127075
EfficientNet3D-B0,32,256,32,32x32x256x256,36.635953426361084,0.1395878791809082,5.894020080566406
EfficientNet3D-B0,64,128,64,64x64x128x128,36.634984493255615,0.1394658088684082,5.99519681930542
EfficientNet3D-B0,8,512,32,8x32x512x512,36.62985277175903,0.1394658088684082,5.86286473274231
EfficientNet3D-B0,16,256,64,16x64x256x256,36.62887239456177,0.1395878791809082,5.9712233543396
EfficientNet3D-B0,4,512,64,4x64x512x512,36.62777853012085,0.1395878791809082,6.25121545791626
EfficientNet3D-B2,64,128,48,64x48x128x128,36.443678855895996,0.2540278434753418,6.386640310287476
EfficientNet3D-B2,16,256,48,16x48x256x256,36.43678379058838,0.25289392471313477,6.386635780334473
EfficientNet3D-B2,4,512,48,4x48x512x512,36.43312406539917,0.25391626358032227,6.732445955276489
EfficientNet3D-B1,32,256,24,32x24x256x256,36.4039249420166,0.21944761276245117,6.1753411293029785
EfficientNet3D-B1,8,512,24,8x24x512x512,36.39406681060791,0.21944761276245117,6.122970104217529
EfficientNet3D-B2,24,256,32,24x32x256x256,36.25372552871704,0.25272226333618164,6.670773983001709
