model_name,batch_size,spatial_resolution,depth,patch_shape,vram_peak_gb,duration_seconds,efficiency_score
ResNet3D-50,8,1024,16,8x16x1024x1024,43.44680976867676,10.398104429244995,0.7220073060026175
ResNet3D-50,8,512,64,8x64x512x512,43.19346857070923,10.275792360305786,0.7212573083417887
ResNet3D-50,32,512,16,32x16x512x512,43.46634101867676,10.44413161277771,0.7210605122712447
ResNet3D-50,64,256,32,64x32x256x256,43.28622627258301,10.394602298736572,0.7194998496397229
ResNet3D-50,32,256,64,32x64x256x256,43.19345712661743,10.342820644378662,0.7194171762083001
ResNet3D-50,16,512,32,16x32x512x512,43.1934609413147,10.384589433670044,0.7182706722103226
ResNet3D-50,4,1024,32,4x32x1024x1024,43.19348430633545,10.617087125778198,0.7118889193577677
ResNet3D-50,20,512,24,20x24x512x512,41.4159951210022,10.16985535621643,0.6953465730251844
ResNet3D-101,64,256,24,64x24x256x256,40.16258955001831,9.723525285720823,0.6872766078149527
ResNet3D-101,16,512,24,16x24x512x512,40.0692138671875,9.7539222240448,0.6849282732884902
ResNet3D-101,4,1024,24,4x24x1024x1024,40.07021379470825,10.30909538269043,0.6697048150051667
ResNet3D-101,24,256,64,24x64x256x256,37.770137786865234,9.371553421020508,0.6581487660532446
ResNet3D-50,64,256,24,64x24x256x256,33.34958076477051,7.632546901702881,0.6342131327311821
ResNet3D-50,16,512,24,16x24x512x512,33.2560830116272,7.582312345504761,0.6340761778511734
ResNet3D-50,4,1024,24,4x24x1024x1024,33.25610637664795,7.806216478347778,0.627930320788839
ResNet3D-101,24,512,16,24x16x512x512,37.95690107345581,10.64442753791809,0.6262360402583987
ResNet3D-101,48,256,32,48x32x256x256,37.82091474533081,10.660166263580322,0.6235992182450645
ResNet3D-50,24,256,64,24x64x256x256,32.54923105239868,7.6047682762146,0.6219993419013187
ResNet3D-50,8,512,48,8x48x512x512,32.58201456069946,7.7939300537109375,0.6173383234993658
ResNet3D-101,12,512,32,12x32x512x512,37.7696533203125,10.93476939201355,0.6152301619974624
ResNet3D-50,48,256,32,48x32x256x256,32.60000801086426,8.004844665527344,0.6118403873632361
ResNet3D-50,12,512,32,12x32x512x512,32.5499062538147,8.043347597122192,0.6099711546953217
ResNet3D-50,24,512,16,24x16x512x512,32.73513984680176,8.164392232894897,0.6096516936849152
ResNet3D-101,20,512,16,20x16x512x512,31.79497480392456,7.61099910736084,0.6095993091198016
ResNet3D-101,32,256,48,32x48x256x256,37.83287763595581,11.203113317489624,0.6088891161998493
ResNet3D-101,20,256,64,20x64x256x256,31.657954692840576,7.568722009658813,0.608538277882904
ResNet3D-101,8,512,48,8x48x512x512,37.80675458908081,11.211354970932009,0.608239339127385
ResNet3D-50,32,256,48,32x48x256x256,32.61129951477051,8.177165508270264,0.6072932010429373
ResNet3D-101,12,512,24,12x24x512x512,30.31774139404297,7.363202095031738,0.5924505602752979
ResNet3D-101,48,256,24,48x24x256x256,30.36852216720581,7.64517331123352,0.585533690161451
ResNet3D-50,20,512,16,20x16x512x512,27.368989944458008,6.019433736801148,0.5815283686145835
ResNet3D-50,20,256,64,20x64x256x256,27.233373641967773,5.9675209522247314,0.5807546002764246
ResNet3D-10,64,256,48,64x48x256x256,26.48299264907837,5.735564231872559,0.5749557182677487
ResNet3D-101,24,256,48,24x48x256x256,28.63097333908081,7.134863376617432,0.5713704240749098
ResNet3D-10,8,1024,24,8x24x1024x1024,26.48348093032837,5.87018346786499,0.5712682963502491
ResNet3D-10,48,512,16,48x16x512x512,26.48396921157837,5.920754909515381,0.5698880117027558
ResNet3D-10,16,512,48,16x48x512x512,26.48299264907837,5.921053171157837,0.5698639910148309
ResNet3D-10,48,256,64,48x64x256x256,26.48457956314087,5.936342239379883,0.5694700306255507
ResNet3D-10,32,512,24,32x24x512x512,26.48348093032837,6.012425184249878,0.5673637183920732
ResNet3D-10,12,1024,16,12x16x1024x1024,26.48396921157837,6.114159345626831,0.5645790016778006
ResNet3D-10,4,1024,48,4x48x1024x1024,26.48299264907837,6.1328041553497314,0.5640513627190606
ResNet3D-10,24,512,32,24x32x512x512,26.48457956314087,6.147706747055054,0.5636680112265717
ResNet3D-10,12,512,64,12x64x512x512,26.48457956314087,6.19879674911499,0.5622655752816439
ResNet3D-50,12,512,24,12x24x512x512,25.098734378814697,5.5618767738342285,0.5572800751164091
ResNet3D-50,48,256,24,48x24x256x256,25.146638870239254,5.6008381843566895,0.5569872632998252
ResNet3D-101,64,128,64,64x64x128x128,25.59191083908081,5.998365879058838,0.5532943432971128
ResNet3D-101,4,512,64,4x64x512x512,25.556453227996823,6.057300567626953,0.5511016829062463
ResNet3D-101,4,1024,16,4x16x1024x1024,25.627925395965576,6.129842042922974,0.5502691983747225
ResNet3D-101,64,256,16,64x16x256x256,25.82823896408081,6.259061336517334,0.5499698369406868
ResNet3D-34,24,512,32,24x32x512x512,30.929239749908447,9.296737670898438,0.5492888421584925
